;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16
109;0;0;0;109647.27236035725;0;0;0;0;0;0;0;109647.27236035725;0;109647.27236035725;109647.27236035725
110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;0;0;0;0;0;0;0;0;131388.13119451897;0;0;0;0;0;0
113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;106730.29548692738;106730.29548692738;106730.29548692738;111232.38876935712;106730.29548692738;106730.29548692738;106730.29548692738;106730.29548692738;0;106730.29548692738;106730.29548692738;111232.38876935712;106730.29548692738;111232.38876935712;111232.38876935712
116;0;0;0;0;0;0;0;0;132494.89911763897;0;0;0;0;0;0
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;0;0;0;0;0;0;0;0;133299.93435166773;0;0;0;0;0;0
121;0;0;0;112308.25470739792;0;0;0;0;0;0;0;112308.25470739792;0;112308.25470739792;112308.25470739792
122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;0;0;0;0;0;0;0;0;133601.84195291516;0;0;0;0;0;0
125;108403.76165287526;108403.76165287526;108403.76165287526;0;108403.76165287526;108403.76165287526;108403.76165287526;108403.76165287526;0;108403.76165287526;108403.76165287526;0;108403.76165287526;0;0
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;0;0;0;112421.51471476699;0;0;0;0;0;0;0;112421.51471476699;0;112421.51471476699;112421.51471476699
128;0;0;0;0;0;0;0;0;133098.6672312307;0;0;0;0;0;0
129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;0;0;0;0;0;0;0;0;132293.65417611497;0;0;0;0;0;0
133;0;0;0;111430.55890863854;0;0;0;0;0;0;0;111430.55890863854;0;111430.55890863854;111430.55890863854
134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;107320.88468182093;107320.88468182093;107320.88468182093;0;107320.88468182093;107320.88468182093;107320.88468182093;107320.88468182093;0;107320.88468182093;107320.88468182093;0;107320.88468182093;0;0
136;0;0;0;0;0;0;0;0;130482.72814641151;0;0;0;0;0;0
137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;0;0;0;109449.16971124885;0;0;0;0;0;0;0;109449.16971124885;0;109449.16971124885;109449.16971124885
140;0;0;0;0;0;0;0;0;129577.3893687594;0;0;0;0;0;0
141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;0;0;0;0;0;0;0;0;129577.3893687594;0;0;0;0;0;0
145;105270.49436173083;105270.49436173083;105270.49436173083;109137.86199249954;105270.49436173083;105270.49436173083;105270.49436173083;105270.49436173083;0;105270.49436173083;105270.49436173083;109137.86199249954;105270.49436173083;109137.86199249954;109137.86199249954
146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;0;0;0;0;0;0;0;0;128571.63973588758;0;0;0;0;0;0
149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;0;0;0;108006.03635043508;0;0;0;0;0;0;0;108006.03635043508;0;108006.03635043508;108006.03635043508
152;0;0;0;0;0;0;0;0;127968.23499019303;0;0;0;0;0;0
153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
155;104089.91462927134;104089.91462927134;104089.91462927134;0;104089.91462927134;104089.91462927134;104089.91462927134;104089.91462927134;0;104089.91462927134;104089.91462927134;0;104089.91462927134;0;0
156;0;0;0;0;0;0;0;0;127968.23499019303;0;0;0;0;0;0
157;0;0;0;107892.86166773064;0;0;0;0;0;0;0;107892.86166773064;0;107892.86166773064;107892.86166773064
158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160;0;0;0;0;0;0;0;0;128973.92833052919;0;0;0;0;0;0
161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;0;0;0;109364.28643191204;0;0;0;0;0;0;0;109364.28643191204;0;109364.28643191204;109364.28643191204
164;0;0;0;0;0;0;0;0;130583.30736352218;0;0;0;0;0;0
165;105401.76582192816;105401.76582192816;105401.76582192816;0;105401.76582192816;105401.76582192816;105401.76582192816;105401.76582192816;0;105401.76582192816;105401.76582192816;0;105401.76582192816;0;0
166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;0;0;0;0;0;0;0;0;130180.9289756523;0;0;0;0;0;0
169;0;0;0;109732.19397954154;0;0;0;0;0;0;0;109732.19397954154;0;109732.19397954154;109732.19397954154
170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
172;0;0;0;0;0;0;0;0;129074.49345343122;0;0;0;0;0;0
173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
